达人昵称,链接,达人认证,达人类目,达人粉丝数,10万以上点赞带货视频个数,5-10万点赞带货视频个数,1-5万点赞带货视频个数
好物种草（情侣分享好物）,http://www.99doushang.com/v/rank/star/detail?uid=2343781514877668&starName=,,种草,214079,1,0,1
大猫街拍穿搭,http://www.99doushang.com/v/rank/star/detail?uid=88253352541&starName=,,,196553,1,0,1
顺乾羊绒高级成衣1店,http://www.99doushang.com/v/rank/star/detail?uid=94106225389&starName=,,穿搭,285278,1,1,1
信口开饭,http://www.99doushang.com/v/rank/star/detail?uid=64402893651&starName=,优质美食自媒体,美食,7943695,2,2,0
王泡芙,http://www.99doushang.com/v/rank/star/detail?uid=96134000367&starName=,,宠物,3868567,11,0,0
郝凡,http://www.99doushang.com/v/rank/star/detail?uid=111424174425&starName=,,搞笑,1974991,6,4,2
爱与二歪,http://www.99doushang.com/v/rank/star/detail?uid=60655862437&starName=,优质视频创作者,宠物,16144507,2,0,0
女王百变秀,http://www.99doushang.com/v/rank/star/detail?uid=681322630351220&starName=,,,61300,1,0,2
夏波波Brian,http://www.99doushang.com/v/rank/star/detail?uid=80745032657&starName=,,美食,5567139,1,0,5
旭嗷嗷(11.29百天庆),http://www.99doushang.com/v/rank/star/detail?uid=57848226823&starName=,,生活,170564,1,0,0
来一碗马汤,http://www.99doushang.com/v/rank/star/detail?uid=100580098391&starName=,,种草,291691,1,0,0
昊铭远水果商贸,http://www.99doushang.com/v/rank/star/detail?uid=108325869693&starName=,,,61164,1,0,0
保罗在美国🇺🇸,http://www.99doushang.com/v/rank/star/detail?uid=99274952448&starName=,,旅行,830982,1,0,0
嗯叁佰,http://www.99doushang.com/v/rank/star/detail?uid=59581474826&starName=,,帅哥,607127,1,0,3
情话书签,http://www.99doushang.com/v/rank/star/detail?uid=71503136443&starName=,,情感,420944,2,0,4
杭州美人榜,http://www.99doushang.com/v/rank/star/detail?uid=109273444707&starName=,,穿搭,1134639,2,0,2
子航核电站,http://www.99doushang.com/v/rank/star/detail?uid=100700500107&starName=,优质视频创作者,音乐,3922838,6,2,0
每日新思维,http://www.99doushang.com/v/rank/star/detail?uid=106666824670&starName=,,娱乐,243255,1,0,0
萌芽熊,http://www.99doushang.com/v/rank/star/detail?uid=68793469235&starName=,抖音特效师,动漫,14619250,1,2,2
九天书匠,http://www.99doushang.com/v/rank/star/detail?uid=111408988187&starName=,,,29715,1,0,0
大头表妹,http://www.99doushang.com/v/rank/star/detail?uid=60483067677&starName=,,搞笑,2080571,5,6,0
东莞市朵朵装饰材料有限公司-,http://www.99doushang.com/v/rank/star/detail?uid=1543309048943148&starName=,,,70385,1,0,1
河卜卜的momo酱,http://www.99doushang.com/v/rank/star/detail?uid=62858477362&starName=,,宠物,3337227,1,1,0
狗屁小鲜肉包,http://www.99doushang.com/v/rank/star/detail?uid=64442261494&starName=,,,28998,1,0,1
OLAY,http://www.99doushang.com/v/rank/star/detail?uid=102972659752&starName=,,娱乐,127929,2,1,4
Sun,http://www.99doushang.com/v/rank/star/detail?uid=58590836959&starName=,,美女,5711815,3,1,6
九九的暖心购物车,http://www.99doushang.com/v/rank/star/detail?uid=106849877630&starName=,,,143077,1,0,4
我是三千,http://www.99doushang.com/v/rank/star/detail?uid=104746374911&starName=,,帅哥,1150869,1,0,0
狼叔街拍,http://www.99doushang.com/v/rank/star/detail?uid=61651039019&starName=,,美女,567834,1,0,5
亲子百科,http://www.99doushang.com/v/rank/star/detail?uid=97882171875&starName=,,母婴育儿,1692637,1,1,2
麦枳,http://www.99doushang.com/v/rank/star/detail?uid=94701402813&starName=,,穿搭,583765,1,0,5
名人名言,http://www.99doushang.com/v/rank/star/detail?uid=103485731076&starName=,,职场,1326220,2,0,1
好物开箱测评严选,http://www.99doushang.com/v/rank/star/detail?uid=57794939721&starName=,,种草,219834,1,0,0
心农园,http://www.99doushang.com/v/rank/star/detail?uid=72030288225&starName=,,,164717,1,1,7
一白遮百丑,http://www.99doushang.com/v/rank/star/detail?uid=71269966590&starName=,,,8453,1,0,0
宝租电脑事业部,http://www.99doushang.com/v/rank/star/detail?uid=69933947707&starName=,,科技,1263857,1,0,0
云夏好物购,http://www.99doushang.com/v/rank/star/detail?uid=2255818286177421&starName=,,,2957,1,0,0
成都女神街拍,http://www.99doushang.com/v/rank/star/detail?uid=4331710835071127&starName=,,穿搭,365399,1,1,1
武轩,http://www.99doushang.com/v/rank/star/detail?uid=101797800752&starName=,抖音人气好物推荐官,穿搭,2548232,3,2,3
悦读时光,http://www.99doushang.com/v/rank/star/detail?uid=3610418931315448&starName=,,情感,606169,1,0,0
我是五先生呀,http://www.99doushang.com/v/rank/star/detail?uid=106413579963&starName=,,美食,1822029,1,0,3
李子柒,http://www.99doushang.com/v/rank/star/detail?uid=68310389333&starName=,美食自媒体,美食,24795498,3,0,0
喵招_,http://www.99doushang.com/v/rank/star/detail?uid=55760493155&starName=,,美女,1226409,2,1,3
成功必修课,http://www.99doushang.com/v/rank/star/detail?uid=2159049212958644&starName=,,,147224,1,0,0
丁公子,http://www.99doushang.com/v/rank/star/detail?uid=2678041416044247&starName=,,美妆,7159805,9,0,0
